title,description
Pengkajian pelaksanaan program pendidikan kesetaraan (Paket C),Pengkajian pelaksanaan program pendidikan kesetaraan (Paket C)
Perkembangan dan masa depan lembaga pendidikan swasta,Perkembangan dan masa depan lembaga pendidikan swasta
Pendidikan Islam Indonesia,Pendidikan Islam Indonesia
Beberapa masalah pendidikan di Indonesia,Beberapa masalah pendidikan di Indonesia
Studi tentang pengalaman kerdja dan penjesuaian hidup lulusan dan djebolan S.T.M. dan S.M.A,Studi tentang pengalaman kerdja dan penjesuaian hidup lulusan dan djebolan S.T.M. dan S.M.A
Paradigma pendidikan Islam,Paradigma pendidikan Islam
Pedoman penyelenggaraan pendidikan untuk peserta didik cerdas istimewa,Pedoman penyelenggaraan pendidikan untuk peserta didik cerdas istimewa
Pendidikan untuk pembangunan nasional,Pendidikan untuk pembangunan nasional
Pemantapan pendayagunaan statistik pendidikan dalam rangka pelaksanaan otonomi daerah,Pemantapan pendayagunaan statistik pendidikan dalam rangka pelaksanaan otonomi daerah
Laporan tentang penyesuaian kegiatan Pusat Pengembangan Inovasi Pendidikan dan Kebudayaan,Laporan tentang penyesuaian kegiatan Pusat Pengembangan Inovasi Pendidikan dan Kebudayaan
Kebutuhan pendidikan dasar manusia Indonesia,Kebutuhan pendidikan dasar manusia Indonesia
Kepemimpinan pendidikan,Kepemimpinan pendidikan
"Pendidikan karakter pada pendidikan jasmani, olahraga, dan kesehatan","Pendidikan karakter pada pendidikan jasmani, olahraga, dan kesehatan"
Pendidikan karakter dalam pembelajaran PKn,Pendidikan karakter dalam pembelajaran PKn
Pengembangan pendidikan guru,Pengembangan pendidikan guru
Undang-Undang no. 12 tahun 2012 Tentang Pendidikan Tinggi dan Universitas Pendidikan Indonesia sebagai perguruan tinggi yang diselenggarakan oleh pemerintah,Undang-Undang no. 12 tahun 2012 Tentang Pendidikan Tinggi dan Universitas Pendidikan Indonesia sebagai perguruan tinggi yang diselenggarakan oleh pemerintah
Pendidikan dan praktik pekerjaan sosial di Indonesia & Malaysia,Pendidikan dan praktik pekerjaan sosial di Indonesia & Malaysia
Upaya peningkatan kualitas pendataan anak usia sekolah 7-12 tahun yang menjadi target khusus pendidikan dasar 9 tahun,Upaya peningkatan kualitas pendataan anak usia sekolah 7-12 tahun yang menjadi target khusus pendidikan dasar 9 tahun
Pendidikan pemberdayaan perempuan,Pendidikan pemberdayaan perempuan
Pendidikan bahasa Indonesia di sekolah pendidikan guru,Pendidikan bahasa Indonesia di sekolah pendidikan guru
Pengintegrasian data awal dalam pangkalan data Depdiknas,Pengintegrasian data awal dalam pangkalan data Depdiknas
Pemantapan dan eksplorasi pendayagunaan database perguruan tinggi swasta (PTS),Pemantapan dan eksplorasi pendayagunaan database perguruan tinggi swasta (PTS)
Pendidikan Pancasila di perguruan tinggi,Pendidikan Pancasila di perguruan tinggi
Model tes bahasa Perancis sebagai bahasa asing : uji coba pada mahasiswa program pendidikan bahasa Perancis FPBS Universitas Pendidikan Indonesia semester ganjil tahun ajaran 1999/2000,Model tes bahasa Perancis sebagai bahasa asing : uji coba pada mahasiswa program pendidikan bahasa Perancis FPBS Universitas Pendidikan Indonesia semester ganjil tahun ajaran 1999/2000
Paradigma pendidikan seni di Indonesia,Paradigma pendidikan seni di Indonesia
Sistem informasi dalam berbagai perspektif,Sistem informasi dalam berbagai perspektif
Pendidikan keaksaraan,Pendidikan keaksaraan
Pendidikan kejuruan di Indonesia,Pendidikan kejuruan di Indonesia
Filsafat dan strategi pendidikan M. Sjafei,Filsafat dan strategi pendidikan M. Sjafei
Management pendidikan dan administrasi pemba-haruan pendidikan,Management pendidikan dan administrasi pemba-haruan pendidikan
Dinamika sistem pendidikan pesantren,Dinamika sistem pendidikan pesantren
Masalah-masalah pendidikan di Indonesia dewasa ini,Masalah-masalah pendidikan di Indonesia dewasa ini
Pentingnya pendidikan dalam keluarga,Pentingnya pendidikan dalam keluarga
Direktori lembaga keuangan syariah & lembaga pendidikan ekonomi syariah 2010,Direktori lembaga keuangan syariah & lembaga pendidikan ekonomi syariah 2010
Kepemimpinan dan supervisi pendidikan,Kepemimpinan dan supervisi pendidikan
Lembaga pendidikan Islam Indonesia abad ke-20,Lembaga pendidikan Islam Indonesia abad ke-20
Sistem pembiayaan pendidikan tinggi di Indonesia,Sistem pembiayaan pendidikan tinggi di Indonesia
"Rujukan filsafat, teori, dan praksis ilmu pendidikan","Rujukan filsafat, teori, dan praksis ilmu pendidikan"
Kapita selekta pendidikan Islam,Kapita selekta pendidikan Islam
Pendidikan agama Islam di perguruan tinggi umum Indonesia,Pendidikan agama Islam di perguruan tinggi umum Indonesia
Potret profesionalisme guru dalam membangun karakter bangsa,Potret profesionalisme guru dalam membangun karakter bangsa
Pendidikan kewarganegaraan di perguruan tinggi Muhammadiyah,Pendidikan kewarganegaraan di perguruan tinggi Muhammadiyah
"Sosiologi pendidikan, 2010","Sosiologi pendidikan, 2010"
Pendidikan agama Islam berwawasan multikulturalisme,Pendidikan agama Islam berwawasan multikulturalisme
Evaluasi pendidikan agama,Evaluasi pendidikan agama
Peranan pendidikan kependudukan dalam menanggulangi masalah kependudukan di Indonesia,Peranan pendidikan kependudukan dalam menanggulangi masalah kependudukan di Indonesia
Pendidikan agama di Indonesia,Pendidikan agama di Indonesia
Pendidikan multikultural,Pendidikan multikultural
Pendidikan agama dalam perspektif agama-agama,Pendidikan agama dalam perspektif agama-agama
Link and match pendidikan luar sekolah,Link and match pendidikan luar sekolah
Perbandingan indikator pendidikan antar daerah,Perbandingan indikator pendidikan antar daerah
Pendidikan pluralisme di Indonesia,Pendidikan pluralisme di Indonesia
Oase pendidikan di Indonesia,Oase pendidikan di Indonesia
Pemanfaatan teknologi informasi dalam komunikasi pendidikan,Pemanfaatan teknologi informasi dalam komunikasi pendidikan
Manajemen mutu sekolah di era otonomi pendidikan,Manajemen mutu sekolah di era otonomi pendidikan
Studi tentang keadaan dan penjelenggaraan kelas berdasarkan observasi beberapa orang ahli pendidikan,Studi tentang keadaan dan penjelenggaraan kelas berdasarkan observasi beberapa orang ahli pendidikan
Kontribusi lembaga pendidikan swasta kepada pendidikan di Indonesia,Kontribusi lembaga pendidikan swasta kepada pendidikan di Indonesia
"Penelitian, pengembangan, dan perencanaan pendidikan agama","Penelitian, pengembangan, dan perencanaan pendidikan agama"
Model tes profisiensi bahasa Sunda,Model tes profisiensi bahasa Sunda
"Ilmu pendidikan, teoretis dan praktis","Ilmu pendidikan, teoretis dan praktis"
Undang-Undang Republik Indonesia nomor 20 tahun 2003 Tentang Sistem Pendidikan Nasional,Undang-Undang Republik Indonesia nomor 20 tahun 2003 Tentang Sistem Pendidikan Nasional
Dinamika pendidikan Islam pasca Orde Baru di Indonesia,Dinamika pendidikan Islam pasca Orde Baru di Indonesia
Pembangunan pendidikan dasar di Indonesia,Pembangunan pendidikan dasar di Indonesia
Konsep pembiayaan pendidikan,Konsep pembiayaan pendidikan
Perkembangan arsitektur dan pendidikan arsitek di Indonesia,Perkembangan arsitektur dan pendidikan arsitek di Indonesia
Bermain sambil mengasah kecerdasan [bidang pengetahuan] anak usia dini,Bermain sambil mengasah kecerdasan [bidang pengetahuan] anak usia dini
Pedoman administrasi perkantoran dalam lingkungan Departemen P & K,Pedoman administrasi perkantoran dalam lingkungan Departemen P & K
Pembaruan pendidikan jasmani di Indonesia,Pembaruan pendidikan jasmani di Indonesia
Rekonstruksi pendidikan Islam,Rekonstruksi pendidikan Islam
Evolusi pendidikan di Indonesia,Evolusi pendidikan di Indonesia
"Gambaran keadaan pendidikan tinggi di Indonesia, 1975","Gambaran keadaan pendidikan tinggi di Indonesia, 1975"
"Buku peringatan 25 tahun pendidikan psikologi Universitas Indonesia, Jakarta, 3 Maret 1953-1978","Buku peringatan 25 tahun pendidikan psikologi Universitas Indonesia, Jakarta, 3 Maret 1953-1978"
Panduan penyelenggaraan taman bacaan masyarakat,Panduan penyelenggaraan taman bacaan masyarakat
Laporan penelitian makna dan manfaat pendidikan prasekolah terhadap perkembangan anak dan sebagai persiapan untuk pendidikan selanjutnya,Laporan penelitian makna dan manfaat pendidikan prasekolah terhadap perkembangan anak dan sebagai persiapan untuk pendidikan selanjutnya
Bahan ajaran pendidikan pendahuluan bela negara,Bahan ajaran pendidikan pendahuluan bela negara
Pendidikan Nasional Indonesia,Pendidikan Nasional Indonesia
8 standar nasional pendidikan,8 standar nasional pendidikan
Reorientasi manajemen pendidikan Islam di era Indonesia baru,Reorientasi manajemen pendidikan Islam di era Indonesia baru
Konstribusi [i.e. Kontribusi] Al-Irsyad terhadap pembaruan pendidikan Islam di Indonesia,Konstribusi [i.e. Kontribusi] Al-Irsyad terhadap pembaruan pendidikan Islam di Indonesia
Taksonomi/nomenklatur program/kegiatan pembangunan Departemen Pendidikan dan Kebudayaan,Taksonomi/nomenklatur program/kegiatan pembangunan Departemen Pendidikan dan Kebudayaan
Dasar-dasar pendidikan nasional,Dasar-dasar pendidikan nasional
Pendidikan Islam di Indonesia,Pendidikan Islam di Indonesia
Pendidikan Islam dalam sistem pendidikan nasional di Indonesia,Pendidikan Islam dalam sistem pendidikan nasional di Indonesia
Membebaskan pendidikan,Membebaskan pendidikan
Program pembelajaran multimedia interaktif berbantuan komputer,Program pembelajaran multimedia interaktif berbantuan komputer
Dinamika pondok pesantren di Indonesia,Dinamika pondok pesantren di Indonesia
Pendidikan Islam alternatif di Indonesia,Pendidikan Islam alternatif di Indonesia
Hubungan antara kemampun membaca pemahaman dengan prestasi belajar,Hubungan antara kemampun membaca pemahaman dengan prestasi belajar
Membangun pendidikan nasional untuk meningkatkan kualitas dan martabat bangsa Indonesia,Membangun pendidikan nasional untuk meningkatkan kualitas dan martabat bangsa Indonesia
Pelbagai persoalan pendidikan Islam di Indonesia dewasa ini,Pelbagai persoalan pendidikan Islam di Indonesia dewasa ini
Pendidikan nilai-nilai anti korupsi,Pendidikan nilai-nilai anti korupsi
Pedoman memilih menyusun bahan ajar dan teks mata pelajaran,Pedoman memilih menyusun bahan ajar dan teks mata pelajaran
Naskah akademik pendidikan pemberdayaan perempuan,Naskah akademik pendidikan pemberdayaan perempuan
Menuju integrasi pendidikan,Menuju integrasi pendidikan
Spektrum problematika pendidikan di Indonesia,Spektrum problematika pendidikan di Indonesia
Kamus pendidikan dan pelatihan,Kamus pendidikan dan pelatihan
Struktur organisasi dan tatakerja PEMDA,Struktur organisasi dan tatakerja PEMDA
"Suatu studi pengembangan model bimbingan dan konseling dalam menanggulangi anak jalanan usia pendidikan dasar di Kecamatan Jatinegara, DKI Jakarta","Suatu studi pengembangan model bimbingan dan konseling dalam menanggulangi anak jalanan usia pendidikan dasar di Kecamatan Jatinegara, DKI Jakarta"
[Kertas kerja masalah memperkokoh ketahanan nasional di Indonesia],[Kertas kerja masalah memperkokoh ketahanan nasional di Indonesia]
Isu-isu baru dalam diskursus filsafat pendidikan Islam dan kapita selekta pendidikan Islam,Isu-isu baru dalam diskursus filsafat pendidikan Islam dan kapita selekta pendidikan Islam
Jejak pemikiran tokoh pendidikan Islam,Jejak pemikiran tokoh pendidikan Islam
[Kertas kerja mengenai masalah peningkatan kualitas pendidikan dan optimalisasi teknologi informasi di Indonesia],[Kertas kerja mengenai masalah peningkatan kualitas pendidikan dan optimalisasi teknologi informasi di Indonesia]
Kebijakan pendidikan lingkungan hidup,Kebijakan pendidikan lingkungan hidup
Pendidikan non formal,Pendidikan non formal
Analisis dan evaluasi hukum tentang lembaga pendidikan asing di Indonesia,Analisis dan evaluasi hukum tentang lembaga pendidikan asing di Indonesia
Sumbangan pendidikan Islam terhadap pembemtukan kepribadian Indonesia,Sumbangan pendidikan Islam terhadap pembemtukan kepribadian Indonesia
"Pluralisme, konflik, dan pendidikan agama di Indonesia","Pluralisme, konflik, dan pendidikan agama di Indonesia"
Indonesia atlas sumberdaya nasional,Indonesia atlas sumberdaya nasional
Pendidikan kecakapan hidup berbasis pesantren,Pendidikan kecakapan hidup berbasis pesantren
Pedoman pembelajaran kelas awal sekolah dasar,Pedoman pembelajaran kelas awal sekolah dasar
Dinamika pendidikan Islam di Indonesia pascakemerdekaan,Dinamika pendidikan Islam di Indonesia pascakemerdekaan
Analisis tanggapan perguruan tinggi terhadap konsep Komisi Pembaharuan Pendidikan Nasional,Analisis tanggapan perguruan tinggi terhadap konsep Komisi Pembaharuan Pendidikan Nasional
Pendidikan karakter dalam perspektif kebudayaan,Pendidikan karakter dalam perspektif kebudayaan
Kepemimpinan dan manajemen pendidikan masa depan berlandaskan trilogi karakter bangsa berbudaya Pancasila menuju Indonesia modern dan sejahtera 2020-an,Kepemimpinan dan manajemen pendidikan masa depan berlandaskan trilogi karakter bangsa berbudaya Pancasila menuju Indonesia modern dan sejahtera 2020-an
"Pendidikan nasional, strategi, dan tragedi","Pendidikan nasional, strategi, dan tragedi"
Mendidik pemimpin dan negarawan,Mendidik pemimpin dan negarawan
Penelitian informasi ketransmigrasian pada pendidikan formal dan non formal,Penelitian informasi ketransmigrasian pada pendidikan formal dan non formal
Arah baru pendidikan Islam di Indonesia,Arah baru pendidikan Islam di Indonesia
Direktori institusi pendidikan tenaga kesehatan di Indonesia 2007,Direktori institusi pendidikan tenaga kesehatan di Indonesia 2007
Pengembangan pendidikan hukum ekonomi,Pengembangan pendidikan hukum ekonomi
Kurikulum dan silabus pendidikan agama Islam pada perguruan tinggi umum,Kurikulum dan silabus pendidikan agama Islam pada perguruan tinggi umum
Kapita selekta pendidikan,Kapita selekta pendidikan
Peranan dan kedudukan teknologi komunikasi pendidikan dalam Departemen Pendidikan dan Kebudayaan,Peranan dan kedudukan teknologi komunikasi pendidikan dalam Departemen Pendidikan dan Kebudayaan
Kinerja pengawas pendidikan agama Islam,Kinerja pengawas pendidikan agama Islam
Suatu pemikiran mengenai pendidikan di Indonesia,Suatu pemikiran mengenai pendidikan di Indonesia
Jejak langkah pendidikan kesetaraan,Jejak langkah pendidikan kesetaraan
Program pendidikan ketrampilan,Program pendidikan ketrampilan
Panduan dan modul penyelenggaraan pendidikan keluarga berwawasan gender,Panduan dan modul penyelenggaraan pendidikan keluarga berwawasan gender
Pendidikan agama dalam keluarga,Pendidikan agama dalam keluarga
Pendidikan agama Islam dalam perspektif multikulturalisme,Pendidikan agama Islam dalam perspektif multikulturalisme
Paradigma baru pendidikan nasional,Paradigma baru pendidikan nasional
"Transisi demografi, transisi pendidikan, dan transisi kesehatan di Indonesia","Transisi demografi, transisi pendidikan, dan transisi kesehatan di Indonesia"
Malpraktik pendidikan,Malpraktik pendidikan
Pendidikan kesehatan sekolah sebagai bagian curriculum Fakultas Pendidikan Djasmani,Pendidikan kesehatan sekolah sebagai bagian curriculum Fakultas Pendidikan Djasmani
"Pola pengupahan, segmentasi tenaga kerja, dan pola belajar dalam pekerjaan buruh bangunan","Pola pengupahan, segmentasi tenaga kerja, dan pola belajar dalam pekerjaan buruh bangunan"
"Materi akuntabilitas kinerja kepala sekolah dan guru, tahun 2012","Materi akuntabilitas kinerja kepala sekolah dan guru, tahun 2012"
Pembangunan pendidikan Islam dalam sistem pendidikan nasional,Pembangunan pendidikan Islam dalam sistem pendidikan nasional
Pendidikan di Indonesia dari masa ke masa,Pendidikan di Indonesia dari masa ke masa
Informasi pendidikan dan kebudayaan,Informasi pendidikan dan kebudayaan
"Pemikiran-pemikiran inovatif dalam kajian bahasa, sastra, seni, dan pembelajarannya","Pemikiran-pemikiran inovatif dalam kajian bahasa, sastra, seni, dan pembelajarannya"
Prosiding the Second International Conference on Applied Linguistics (Conaplin 2),Prosiding the Second International Conference on Applied Linguistics (Conaplin 2)
Citra ideal anak Indonesia,Citra ideal anak Indonesia
Pendidikan agama Islam di perguruan tinggi,Pendidikan agama Islam di perguruan tinggi
8 standar pendidikan nasional,8 standar pendidikan nasional
Sistem pendidikan nasional,Sistem pendidikan nasional
Kekuasaan dan pendidikan,Kekuasaan dan pendidikan
Analisis keuangan & efisiensi pengelolaan pendidikan,Analisis keuangan & efisiensi pengelolaan pendidikan
Politik editorial Media Indonesia,Politik editorial Media Indonesia
Pendidikan karakter di pesantren,Pendidikan karakter di pesantren
"Disain penelitian kebutuhan pendidikan dasar manusia Indonesia, 1985/1986","Disain penelitian kebutuhan pendidikan dasar manusia Indonesia, 1985/1986"
Kurikulum transisi sekolah dasar (SD) bidang-bidang studi ..,Kurikulum transisi sekolah dasar (SD) bidang-bidang studi ..
Pendidikan wawasan kebangsaan,Pendidikan wawasan kebangsaan
Tinjauan holistik mengenai tujuan pendidikan nasional,Tinjauan holistik mengenai tujuan pendidikan nasional
"Beberapa permasalahan hukum dan pembangunan hukum, hukum dan pendidikan hukum, dan hukum dan bantuan hukum","Beberapa permasalahan hukum dan pembangunan hukum, hukum dan pendidikan hukum, dan hukum dan bantuan hukum"
Peraturan Menteri Pendidikan Nasional no. 12 tahun 2009 tentang kriteria dan perangkat akreditasi sekolah menengah pertama (SMP) dan madrasah tsanawiyah (MTs),Peraturan Menteri Pendidikan Nasional no. 12 tahun 2009 tentang kriteria dan perangkat akreditasi sekolah menengah pertama (SMP) dan madrasah tsanawiyah (MTs)
Islamic multicultural education,Islamic multicultural education
Pedoman teknis pengelolaan personil pendidikan dasar dan pendidikan guru,Pedoman teknis pengelolaan personil pendidikan dasar dan pendidikan guru
Panduan belajar ke pendidikan kedinasan,Panduan belajar ke pendidikan kedinasan
Manajemen dan kepemimpinan transformasional kekepalasekolahan,Manajemen dan kepemimpinan transformasional kekepalasekolahan
Situasi pendidikan di Indonesia selama sepuluh tahun terakhir,Situasi pendidikan di Indonesia selama sepuluh tahun terakhir
[Seputar penyelenggaraan pendidikan nonformal dan informal di Indonesia],[Seputar penyelenggaraan pendidikan nonformal dan informal di Indonesia]
Analisis biaya dan manfaat investasi pendidikan di Indonesia,Analisis biaya dan manfaat investasi pendidikan di Indonesia
Reformasi dan masa depan pendidikan di Indonesia,Reformasi dan masa depan pendidikan di Indonesia
Transformasi pendidikan Islam di Indonesia,Transformasi pendidikan Islam di Indonesia
Pendidikan perspektif media,Pendidikan perspektif media
"Pedoman penerapan pendekatan ""beyond center and circle time (BCCT)"", pendekatan sentra dan lingkaran dalam pendidikan anak usia dini","Pedoman penerapan pendekatan ""beyond center and circle time (BCCT)"", pendekatan sentra dan lingkaran dalam pendidikan anak usia dini"
Diktat Pendidikan Moral Pancasila,Diktat Pendidikan Moral Pancasila
Olahraga pendidikan di sekolah dasar menuju olahraga prestasi,Olahraga pendidikan di sekolah dasar menuju olahraga prestasi
"Kumpulan Undang-Undang, Peraturan Pemerintah RI tentang pendidikan","Kumpulan Undang-Undang, Peraturan Pemerintah RI tentang pendidikan"
Reorientasi pendidikan Islam,Reorientasi pendidikan Islam
Pluralisme dan multikulturalisme,Pluralisme dan multikulturalisme
Pendidikan sains yang humanistis,Pendidikan sains yang humanistis
Wacana pengembangan pendidikan Islam,Wacana pengembangan pendidikan Islam
Laporan Direktorat Pendidikan Tinggi,Laporan Direktorat Pendidikan Tinggi
Rencana strategis (renstra) Kementerian Pendidikan Nasional tahun 2010-2014,Rencana strategis (renstra) Kementerian Pendidikan Nasional tahun 2010-2014
Beberapa masalah tehnis pendidikan disekolah dasar dalam rangka pembinaan S. D. pembangunan,Beberapa masalah tehnis pendidikan disekolah dasar dalam rangka pembinaan S. D. pembangunan
Pemikiran dan aktualisasi pengembangan pendidikan Islam,Pemikiran dan aktualisasi pengembangan pendidikan Islam
Dampak krisis ekonomi terhadap pendidikan dasar di Indonesia,Dampak krisis ekonomi terhadap pendidikan dasar di Indonesia
Komunitas sekolah rumah sebagai satuan pendidikan kesetaraan,Komunitas sekolah rumah sebagai satuan pendidikan kesetaraan
Spiritualisasi pendidikan,Spiritualisasi pendidikan
Pendidikan manusia Indonesia,Pendidikan manusia Indonesia
Pendidikan nasional Indonesia,Pendidikan nasional Indonesia
Pendidikan untuk transformasi bangsa,Pendidikan untuk transformasi bangsa
Pendidikan teknologi karet di Indonesia,Pendidikan teknologi karet di Indonesia
Reorientasi ilmu pendidikan di Indonesia,Reorientasi ilmu pendidikan di Indonesia
Education[al] development in Indonesia,Education[al] development in Indonesia
Kebijaksanaan fiskal dan moneter,Kebijaksanaan fiskal dan moneter
Pengantar kepada administrasi dan supervisi pendidikan,Pengantar kepada administrasi dan supervisi pendidikan
Peranan orang tua bagi kelangsungan pendidikan anak dipedesaan,Peranan orang tua bagi kelangsungan pendidikan anak dipedesaan
Pendidikan karakter untuk bangsa,Pendidikan karakter untuk bangsa
Komisi Pembaharuan Pendidikan Nasional,Komisi Pembaharuan Pendidikan Nasional
Reformasi pendidikan Muhammadiyah,Reformasi pendidikan Muhammadiyah
Potret pendidikan ekonomi Islam di Indonesia,Potret pendidikan ekonomi Islam di Indonesia
Masa datang industri grafika Indonesia dan pengembangan pendidikan grafika,Masa datang industri grafika Indonesia dan pengembangan pendidikan grafika
Cultural policy in Indonesia,Cultural policy in Indonesia
Pranata Islam di Indonesia,Pranata Islam di Indonesia
Pendidikan kecakapan hidup untuk pencegahan HIV dan AIDS,Pendidikan kecakapan hidup untuk pencegahan HIV dan AIDS
Pendidikan kesadaran berkonstitusi,Pendidikan kesadaran berkonstitusi
Design penelitian pendidikan non-formil,Design penelitian pendidikan non-formil
Pendidikan di Indonesia,Pendidikan di Indonesia
Praksis pendidikan di Indonesia,Praksis pendidikan di Indonesia
Gender dan pendidikan dasar,Gender dan pendidikan dasar
"Rencana strategis pembangunan pendidikan Islam, tahun 2005-2009","Rencana strategis pembangunan pendidikan Islam, tahun 2005-2009"
Contoh yang baik dalam bidang manajemen pendidikan =,Contoh yang baik dalam bidang manajemen pendidikan =
Pendidikan antikorupsi di sekolah,Pendidikan antikorupsi di sekolah
Pancasila dan UUD 1945,Pancasila dan UUD 1945
Data/informasi pendidikan terpadu,Data/informasi pendidikan terpadu
Pesantren dan tradisi pendidikan Islam di Indonesia,Pesantren dan tradisi pendidikan Islam di Indonesia
"Pembangunan pendidikan nasional, 2005-2007","Pembangunan pendidikan nasional, 2005-2007"
Kurikulum inti pendidikan sarjana keperawatan,Kurikulum inti pendidikan sarjana keperawatan
Pendidikan agama dalam pembinaan mental,Pendidikan agama dalam pembinaan mental
Kajian efektivitas keberadaan Dewan Pendidikan dan Komite Sekolah dalam meningkatkan mutu pendidikan,Kajian efektivitas keberadaan Dewan Pendidikan dan Komite Sekolah dalam meningkatkan mutu pendidikan
Petunjuk pelaksanaan Undang-Undang Badan Hukum Pendidikan,Petunjuk pelaksanaan Undang-Undang Badan Hukum Pendidikan
Teropong pendidikan kita,Teropong pendidikan kita
Educational innovation in Indonesia,Educational innovation in Indonesia
Pembaharuan pendidikan di Indonesia,Pembaharuan pendidikan di Indonesia
Pendidikan dokter di Indonesia,Pendidikan dokter di Indonesia
Dinamika pendidikan di Indonesia,Dinamika pendidikan di Indonesia
Politik pendidikan tinggi Indonesia,Politik pendidikan tinggi Indonesia
Bibliografi pendidikan di Indonesia,Bibliografi pendidikan di Indonesia
Membangun kerja sama tim,Membangun kerja sama tim
Pendidikan kependudukan menjongsong Indonesia tahun 2000,Pendidikan kependudukan menjongsong Indonesia tahun 2000
Pendidikan tinggi di Indonesia,Pendidikan tinggi di Indonesia
Laporan survey kurikulum keluarga berencana dalam pendidikan kebidanan di Indonesia,Laporan survey kurikulum keluarga berencana dalam pendidikan kebidanan di Indonesia
"Pokok-pokok gagasan tentang pendidikan di Indonesia, berdasarkan falsafah Pancasila","Pokok-pokok gagasan tentang pendidikan di Indonesia, berdasarkan falsafah Pancasila"
Pedoman pelaksanaan pola pembaharuan sistem pendidikan tenaga kependidikan di Indonesia,Pedoman pelaksanaan pola pembaharuan sistem pendidikan tenaga kependidikan di Indonesia
Masalah-masalah hubungan antara pendidikan dengan pembangunan ekonomi di Indonesia,Masalah-masalah hubungan antara pendidikan dengan pembangunan ekonomi di Indonesia
Faktor determinan dibalik inequality partisipasi sekolah pendidikan dasar di Indonesia,Faktor determinan dibalik inequality partisipasi sekolah pendidikan dasar di Indonesia
Pemikiran perspektif mengenai pendidikan kepemimpinan dalam tahapan masa depan modernisasi Indonesia,Pemikiran perspektif mengenai pendidikan kepemimpinan dalam tahapan masa depan modernisasi Indonesia
Pengembangan sumber daya manusia aparatur melalui pendidikan dan pelatihan pegawai negeri di Indonesia,Pengembangan sumber daya manusia aparatur melalui pendidikan dan pelatihan pegawai negeri di Indonesia
Guru demokratis di era reformasi pendidikan,Guru demokratis di era reformasi pendidikan
Beberapa agenda reformasi pendidikan nasional dalam perspektif abad 21,Beberapa agenda reformasi pendidikan nasional dalam perspektif abad 21
Nalar spiritual pendidikan,Nalar spiritual pendidikan
Memahami pendidikan moral Pancasila,Memahami pendidikan moral Pancasila
Mass education in Indonesia,Mass education in Indonesia
Tata bahasa transformasi bahasa Jawa tingkat krama (tata kalimat),Tata bahasa transformasi bahasa Jawa tingkat krama (tata kalimat)
Pendidikan kewarganegaraan dan nasionalisme bangsa,Pendidikan kewarganegaraan dan nasionalisme bangsa
Result of the Seminar,Result of the Seminar
Evaluasi program pendidikan dasar dan menengah tahun 2000-2004,Evaluasi program pendidikan dasar dan menengah tahun 2000-2004
Jangan abaikan pendidikan,Jangan abaikan pendidikan
Pola pembaharuan sistem pendidikan tenaga kependidikan di Indonesia,Pola pembaharuan sistem pendidikan tenaga kependidikan di Indonesia
Pendidikan tinggi Islam di Indonesia,Pendidikan tinggi Islam di Indonesia
Pendidikan untuk semua,Pendidikan untuk semua
Himpunan surat-surat keputusan pembinaan pendidikan tinggi,Himpunan surat-surat keputusan pembinaan pendidikan tinggi
Peranan kepala sekolah menengah sebagai pemimpin pendidikan,Peranan kepala sekolah menengah sebagai pemimpin pendidikan
Laporan penelitian tentang pendidikan agama pada Gerakan Pramuka,Laporan penelitian tentang pendidikan agama pada Gerakan Pramuka
Memantapkan sistem pendidikan nasional,Memantapkan sistem pendidikan nasional
Dampak krisis ekonomi pada pendidikan dasar,Dampak krisis ekonomi pada pendidikan dasar
Manajemen akademik lembaga pendidikan tinggi Islam,Manajemen akademik lembaga pendidikan tinggi Islam
Karakter manusia Indonesia,Karakter manusia Indonesia
Pengembangan model bimbingan dan konseling komprehensif pada jalur pendidikan formal,Pengembangan model bimbingan dan konseling komprehensif pada jalur pendidikan formal
Peraturan Pemerintah Republik Indonesia no. 47 tahun 2008 tentang wajib belajar,Peraturan Pemerintah Republik Indonesia no. 47 tahun 2008 tentang wajib belajar
"Profil gereja-gereja, yayasan, pendidikan agama, dan keagamaan Kristen di Indonesia","Profil gereja-gereja, yayasan, pendidikan agama, dan keagamaan Kristen di Indonesia"
Pendidikan pendahuluan bela negara,Pendidikan pendahuluan bela negara
Peraturan pemerintah Republik Indonesia nomor 14 tahun 2010 tentang pendidikan kedinasan,Peraturan pemerintah Republik Indonesia nomor 14 tahun 2010 tentang pendidikan kedinasan
Pendidikan kesetaraan Program Paket A dan Paket B,Pendidikan kesetaraan Program Paket A dan Paket B
Rekonstruksi pendidikan,Rekonstruksi pendidikan
Mereka bicara pendidikan Islam,Mereka bicara pendidikan Islam
Pekan Pendidikan DKI Jakarta menuju Pekan Pendidikan Nasional seluruh Indonesia (Pepenas),Pekan Pendidikan DKI Jakarta menuju Pekan Pendidikan Nasional seluruh Indonesia (Pepenas)
"Kemampuan berbahasa Indonesia, membaca dan menulis, murid kelas III Sekolah Pendidikan Guru Sumatera Barat","Kemampuan berbahasa Indonesia, membaca dan menulis, murid kelas III Sekolah Pendidikan Guru Sumatera Barat"
Hasil Lokakarya Pendidikan Lingkungan Hidup,Hasil Lokakarya Pendidikan Lingkungan Hidup
Pemberdayaan pendidikan Islam di Indonesia,Pemberdayaan pendidikan Islam di Indonesia
Pendidikan dalam alam Indonesia merdeka,Pendidikan dalam alam Indonesia merdeka
