title,subtitle,description
The Ultimate One-Pot Vegan Recipes,"Time-Saving, Nutrient-Rich, Flavorful Cooking for a Healthier Lifestyle",
Vegan Cookbook Delicious Recipes for Your Body. Complete Cookbook for Beginners. Quick and Easy,,
Cooking from the Spirit,"Easy, Delicious, and Joyful Plant-Based Inspirations",
The National Culinary Review,Official Magazine of the American Culinary Federation,
Vegan Cooking,Creativity and Flavor,
Vegan Cooking,,
Vegan Diet Cookbook,"Tasty Vegan Recipes, Great for the Vegetarian Diet",
Culinary Colorado,The Ultimate Food Lover's Guide,
How to Bake Everything,Simple Recipes for the Best Baking: A Baking Recipe Cookbook,
Mississippi Vegan,Recipes and Stories from a Southern Boy's Heart: A Cookbook,
Veganissimo,Beautiful Vegan Food,
"The Betty Crocker Cookbook, 13th Edition",Everything You Need to Know to Cook Today,
Why Vegan is the New Black,More Than 100 Delicious Meat and Dairy Free Meal Ideas Your Whole Family Will Love,
Vegan Cooking from the Flying Laptop,,
As Cooked on TikTok,Fan favorites and recipe exclusives from more than 40 TikTok creators! A Cookbook,
The Art of Korean Vegan Cooking,"Flavor-First, Plant-Based Recipes from the Heart of Korea",
Libro de Cocina Vegana.,Vegan Cooking for Beginners and Beyond,
Happy Skin Kitchen,Over 100 Plant-Based Recipes to Nourish Your Skin from the Inside Out,
The Asian Vegan Kitchen,Authentic and Appetizing Dishes from a Continent of Rich Flavors,
"1,000 Vegetarian Recipes",,
Simply Satisfying,Over 200 Vegetarian Recipes You'll Want to Make Again and Again,
100 Best Vegetarian Recipes,,
The Big Book of Vegetarian Recipes,More Than 700 Easy Vegetarian Recipes for Healthy and Flavorful Meals,
The Vegetarian Epicure,262 Recipes,
Simply Vibrant,All-Day Vegetarian Recipes for Colorful Plant-Based Cooking,
The Best Vegetarian Recipes,"From Greens to Grains, From Soups to Salads: 200 Bold-Flavored Recipes",
Vegetarian Classics,300 Essential and Easy Recipes for Every Meal,
World's 60 Best Vegetarian Recipes... Period,,
The New Vegetarian Epicure,Menus--with 325 all-new recipes--for family and friends: A Cookbook,
In My Kitchen,A Collection of New and Favorite Vegetarian Recipes [A Cookbook],
Better Homes and Gardens 365 Vegetarian Meals,Inspiring Meals for Every Day of the Year,
Vegetarian Dishes from Around the World,,
Naturally Vegetarian,Recipes and Stories from My Italian Family Farm: A Cookbook,
Dinner,120 Vegan and Vegetarian Recipes for the Most Important Meal of the Day [American Measurements],
Flavors of Home,Family Favorite Vegan Vegetarian Recipes,
Super Natural Simple,"Whole-Food, Vegetarian Recipes for Real Life [A Cookbook]",
500 Greatest-ever Vegetarian Recipes,A Cook's Guide to the Sensational World of Vegetarian Cooking,
The Heart of the Plate,Vegetarian Recipes for a New Generation,
The One-Dish Vegetarian,100 Recipes for Quick and Easy Vegetarian Meals,
500 Greatest-Ever Vegetarian Recipes,A Cook's Guide to the Sensational World of Vegetarian Cooking,
Vegetarian Times,,
Vegetarian Recipes,Feasting At Home: Food List And Meal Plan - Healthline For Vegetarian,
Green Kitchen: Quick & Slow,Joyful Vegetarian Recipes for Quick Weeknight Fixes and Slow Weekend Meals,
The Vegetarian Family Cookbook,100 Simple Kid-Friendly Recipes to Enjoy Together,
Feasts of Veg,Vibrant vegetarian recipes for gatherings,
Vegetarian Times,,
30-Minute Vegiterranean Cookbook,Healthy Vegetarian Recipes for the Mediterranean Diet,
The Vegetarian Magazine,,
The Simple Art of Vegetarian Cooking,Templates and Lessons for Making Delicious Meatless Meals Every Day: A Cookbook,
"1,001 Low-fat Vegetarian Recipes",,
The Complete Vegetarian Recipes Cookbook,Kitchen Vegetarian Recipes Cookbook with Low Calories Meals Vegan Healthy Food,
"Vegetarian Cookbook: 100 - 5 Ingredients Or Less, Quick and Easy Vegetarian Recipes (Volumes 1 And 2)",Vegetarian Cookbook,
500 Greatest-ever Vegetarian Recipes,A Cook's Guide to the Sensational World of Vegetarian Cooking,
Vegetarian Dinner's in the Oven,"One-Pan Vegetarian and Vegan Recipes (Vegetarian and Vegan Cookbook, Housewarming Gift)",
Farm to Table Asian Secrets,Vegan & Vegetarian Full-Flavored Recipes for Every Season,
Meatless: More than 200 of the Best Vegetarian Recipes,,
Vegetarian Recipes for Pasta Lovers,More Than 50 Delicious Ideas to Make Easily Tasty Vegetarian Pasta Dishes,
Love Soup,160 All-New Vegetarian Recipes from the Author of The Vegetarian Epicure,
Simple Green Suppers,A Fresh Strategy for One-Dish Vegetarian Meals,
Vegetarian Recipes,With Just 3 Or 4 Ingredients,
Italian Recipes for Food Reformers,,
Food and Nutrition Information and Educational Materials Center catalog,,
The Vegetarian Messenger,,
Bowls of Goodness: Vibrant Vegetarian Recipes Full of Nourishment,,
Vegetarian : 150 Inspired Ideas for Everyday Cooking,,
Hindu Dietetics with Hints on Cooking and Recipes,,
"Small Planet, Small Plates",Earth-Friendly Vegetarian Recipes,
30 Low-Fat Vegetarian Meals in 30 Minutes,,
Vegetarian Recipes for Beginners,"A Comprehensive Cookbook on the Plant-based Diet. Discover how to Quickly and Easily Prepare Delicious Dishes, While Eating Healthy and Without Sacrificing Taste!",
Kids Can Cook,Vegetarian Recipes,
Student's Vegetarian Cookbook For Dummies,,
A Taste of Life,"1,000 Vegetarian Recipes from Around the World",
Linda McCartney's Home Vegetarian Cooking,"308 Quick, Easy, and Economical Vegetarian Dishes",
Kitchen Classics: Gourmet Vegetarian,Gourmet Vegetarian,
The 5-Ingredient Vegetarian Pressure Cooker Cookbook,Fresh Pressure Cooker Recipes for Meals in Minutes,
Vegetarian Recipes by Eugene,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Claire's Classic American Vegetarian Cooking,225 New and Favorite Homestyle Vegetarian Recipes,
Vegetarian Recipes,"The Best Cookbook with Delicious, Affordable And Easy Recipes ( for Beginners and Advanced Users )",
The Curry Guy Light,"Over 100 Lighter, Fresher Indian Curry Classics",
The Curry Guy Thai,Recreate Over 100 Classic Thai Takeaway and Restaurant Dishes at Home,
Life and Health,,
Pot-pourri Mixed by Two,,
THE VEGETARIAN DIET FOR COUPLE COOKBOOK,200+ Quick and Easy Recipes for the Best Dinner for Two! Eat Healthy with a Big Choice of Delicious Vegetarian Recipes!,
Early Vegetarian Recipes,,
"A Bibliography of Arts, Trades and Sports",Being the Sections Relating to Those Subjects in the Best Books and the Reader's Guide,
The Theosophical Review,,
The Best Books: a Readers Guide to the Choice of the Best Available Books (about 50.000)...,,
The Forest Feast: Simple Vegetarian Recipes from My Cabin in the Woods,,
Vegetarian Homestyle Cooking,A Guide to Heart-healthy Lowfat Eating,
Vegetarian Recipes by Michael,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
A Reader's Guide to Contemporary Literature,"Being the First Supplement of the Best Books; a Reader's Guide to the Choice of the Best Available Books [about 50,000] in Every Department of Science, Art and Literature, with the Dates of the First and Last Editions and the Price, Size and Publisher's Name of Each Book",
Subject Index of the Modern Works Added to the Library of the British Museum,,
Liberty,,
Finding List of Useful Arts,,
A Subject Index of the Modern Works Added to the Library of the British Museum in the Years 1891-1895,,
A Subject Index of the Modern Works Added to the Library of the British Museum in the Years 1880-[95]: 1891-1895,,
Gourmet Vegetarian Feasts,An International Selection of Appetizing Recipes for All Occasions,
Subject Index of Modern Books Acquired,,
Vegetarian Mexican Cookbook,70 Recipes For Classic Veggie Dishes From Mexico,
The Vegetarian Slow Cooker,Over 200 Delicious Recipes,
Vegetarian Recipes by Kimberly,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Vegetarian Recipes for Beginners,A Wonderful Cookbook that Collects Many Delicious Plant-based Recipes to Prepare Quickly and Easily. Stay Fit by Eating Healthy with the Tricks of the Vegetable Diet.,
The Definitive Vegetarian Savory Cookbook,Super Easy Savory Vegetarian Recipes For Beginners,
Olive Trees and Honey,A Treasury of Vegetarian Recipes from Jewish Communities Around the World,
Vegetarian Recipes by Ethan,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Vegetarian Recipes by Juan,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Rose Elliot's Vegetarian Meals in Minutes,Over 200 Delicious Dishes in a Flash,
Bean Rolls and Other Yummy Stuff,"Vegetarian Recipes for Meals, Snacks, Sweets and Sauces",
India's Favorite Vegan and Vegetarian Recipes,"A Cookbook of Healthy and Delicious Indian Recipes, for Vegan and Vegetarian Lifestyles",
Hello! 100 Cajun Vegetarian Recipes,"Best Cajun Vegetarian Cookbook Ever For Beginners [Best Cajun Cookbook, Cajun Vegan Cookbook, Cajun Seafood Cookbook, Healthy Cajun Cookbook]",
Sicilian Vegetarian Cooking,99 More Recipes to Love,
The Runner's World Vegetarian Cookbook,150 Delicious and Nutritious Meatless Recipes to Fuel Your Every Step,
Vegetarian Recipes by Joan,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Pescatarian Cookbook,"Easy and Delicious Fish, Seafood and Vegetarian Recipes for a Healthy and Balanced Diet",
Reading List for Children's Librarians,,
Plant Based Air Fryer Cookbook 2021,Air Fryer Vegetarian Recipes For Weight Loss,
Vegetarian Diet Cookbook,Amazing Low Carb And High Fat Vegetarian Recipes To Lose Weight And Stay Healthy Forever,
Vegetarian Chinese Cookbook: Asian Food Made Simple With Over 77 Easy Recipes For Amazing Veggie Dishes,,
Super Natural Every Day,Well-loved Recipes from My Natural Foods Kitchen,
Vegetarian Recipes by Alice,"Empty Template Cookbook to Write in for Women, Men , Kids and Atlets, 8 X10 120-Pages",
"Vegetarian Cooking With Jeanie Burke, R.D",A Collection of Mouthwatering Low-Fat Vegetarian Recipes to Make Your Taste Buds Smile,
Vegetarian Recipes by Jeremy,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Instant Pot Vegetarian Cookbook,Top 100 Instant Pot Recipes for Vegetarians,
The Cranks Bible,A Timeless Collection of Vegetarian Recipes,
The Vegetarian Cookbook Curries and Soup Recipes,"Quick, Easy and Healthy Delicious Vegetarian Recipes for Healthy Living While Keeping Your Weight Under Control",
The Accidental Paleo,Easy Vegetarian Recipes for a Paleo Lifestyle,
To-day,Incorporating T.P.'s Weekly,
Food for Today,,
The Forest Feast: Simple Vegetarian Recipes from My Cabin in the Woods by Erin Gleeson,,
Bulletin,Bibliography,
Bibliography Bulletin,,
Mediterranean Vegetarian Cooking,,
Bookseller,Buyer's guide,
Vegetarian Cookbook for Beginners,Easy and Delicious Recipes,
"The household oracle, ed. by A.H. Miles",,
Vegetarian Recipes by Teresa,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
365 Vegetarian College Cookbook,Quick vegetable based dishes for every day of the year,
The Publishers Weekly,,
Still Life with Menu Cookbook,Over 200 Delicious Vegetarian Recipes with Original Art,
American Motherhood,,
American Motherhood,,
Baby & Child Vegetarian Recipes,Over 150 Healthy and Delicious Dishes for Your Young Family,
The Great European War ...,,
Senior High Core Collection,A Selection Guide,
The Greek Vegetarian,More Than 100 Recipes Inspired by the Traditional Dishes and Flavors of Greece,
Documents of the Senate of the State of New York,,
Good Housekeeping,,
Vegetarian Recipes by Anthony,"Empty Template Cookbook to Write in for Women, Men, Kids and Atlets, 8""x10"" 120-Pages",
Beeton's Every-day cookery and housekeeping book,,
Food from a Loving Home,A Collection of Vegetarian Recipes,
Guide to Cooking Schools,"Cooking Schools, Courses, Vacations, Apprenticeships, and Wine Instruction Throughout the World",
"Lodging, Restaurant and Tourism Index",,
"Selected Guide to Make-it, Fix-it, Do-it-yourself Books",,
Subject Index of the Modern Works Added to the British Museum Library,,
The Vegetarian Pocket Bible,,
Get the Fat Out,501 Simple Ways to Cut the Fat in Any Diet,
The Hotel/motor Hotel Monthly,,
The Animals' Agenda,,
Subject Index of the Modern Books Acquired by the British Museum in the Years ...,,
The New Vegetarians,Promoting Health and Protecting Life,
Get a Healthy Weight for Your Child,A Parent's Guide to Better Eating and Exercise,
Subject Index of the Modern Works Added to the Library of the British Museum in the Years 1906-1910,,
Super Easy Sweets,69 Really Simple Dessert Recipes: A Baking Book,
The Art and Soul of Baking,,
Fresh on the table - Margit's cooking and baking recipes,Selected cooking and baking recipes simple - quick - good,
Mom's Big Book of Baking,"200 Simple, Foolproof Recipes for Delicious Family Treats to Get You Through Every Birthday Party, Class Picnic, Potluck Bake Sale, Holiday, and No-school Day",
The Baking Bible,150 Cake Recipes and 164 Baking Dessert Recipes,
101 Blue Ribbon Dessert Recipes,,
Baking Out Loud,Fun Desserts with Big Flavors: A Baking Book,
Pastries and Desserts,,
The Professional Chef's Baking Recipes,,
Baking Happiness,"Delicious, Colorful Desserts to Brighten Every Day",
"Better Homes and Gardens New Cook Book, 17th Edition",,
Sweet Stuff,Karen Barker's American Desserts,
Sweet Soulful Baking,Recipes Inspired by Southern Roots,
Desserts,The Ultimate Cookbook,
Golden Elixir of the Kitchen,Mastering the Craft of Ghee for Culinary and Wellness Success,
The Preserving Garden,"Bottle, pickle, ferment and cook homegrown food all year round",
"Crazy for Cookies, Brownies, and Bars","Super-Fast, Made-from-Scratch Sweets, Treats, and Desserts",
The Joys of Baking,Recipes and Stories for a Sweet Life,
The American Food Journal,,
The Ultimate Baking for One Cookbook,175 Super Easy Recipes Made Just for You,
Betty Crocker Right-Size Recipes,Delicious Meals for One or Two,
Circular,,
Twentieth Century Cook Book,"An Up-to-date and Skillful Preparation on the Art of Cooking and Modern Candy Making Simplified; Also, the Process of Drying Fruits and Vegetables, and Butchering Time Recipes",
"Twentieth Century Cook Book, an Up-to-date and Skillful Preparation on the Art of Cooking and Modern Candy Making Simplified","Also the Process of Drying Fruits and Vegetables, and Butchering Time Recipes",
American Cookery,,
Baking Cookbook,270 Dessert Recipes for Sweet Treats,
199 Selected Recipes,,
Book of Recipes,,
McCall's,,
Healthy Desserts,,
Circular,,
Cutler's Red Book of Priceless Recipes,"A Collection of the Most Practical, Useful and Valuable Recipes, Formulas and Suggestions for Every Occasion",
"Paul Richards' Book of Breads, Cakes, Pastries, Ices and Sweetmeats",Especially Adapted for Hotel and Catering Trades,
Ladies' Home Journal,,
The Ladies' Home Journal,,
Good Housekeeping,,
Cook Book of Selected Recipes,,
Choice Recipes,Contributed by the Women's Society of the Fairmount Presbyterian Church,
Woman's Home Companion,,
Dietary Administration and Therapy,,
Paris Sweets,Great Desserts From the City's Best Pastry Shops: A Baking Book,
Deceptive Desserts,A Lady's Guide to Baking Bad!,
Hand Made Baking,Recipes to Warm the Heart,
The New Pie,Modern Techniques for the Classic American Dessert: A Baking Book,
Dessert Cookbook,Essential Baking Recipes for Every Cook,
Sprinkles Baking Book,100 Secret Recipes from Candace's Kitchen,
American Girl Baking,"Recipes for Cookies, Cupcakes & More",
Guide to Literature of Home and Family Life,A Classified Bibliography for Home Economics,
Debbi Fields' Great American Desserts,100 Mouthwatering Easy-to-prepare Recipes,
Guide to Literature of Home and Family Life,A Classified Bibliography for Home Economics with Use and Content Annotations,
Feel-Good Fall Baking,105 Recipes the Whole Family Will Love,
The Famous American Recipes Cookbook,,
The Saturday Evening Post,,
Super Cute Crispy Treats,Nearly 100 Unbelievable No-Bake Desserts,
Baking Unplugged,,
BraveTart,Iconic American Desserts,
Forecast,,
The Country Gentleman,,
Circular ...,,
The Best Gluten-Free and Dairy-Free Baking Recipes,,
Practical Home Economics,,
Adult Catalog: Subjects,,
Practical Uses of Rope on the Farm,"Knots, Hitches, Splices",
Pillsbury Baking,,
Sprinkles!,Recipes and Ideas for Rainbowlicious Desserts,
Woman's World,,
Pictorial Review,,
The Complete Guide to Even More Vegan Food Substitutions,"The Latest and Greatest Methods for Veganizing Anything Using More Natural, Plant-Based Ingredients * Includes More Than 100 Recipes!",
You Made That Dessert?,"Create Fabulous Treats, Even If You Can Barely Boil Water",
Treasury of Baking Recipes,,
"History of Soy Flour, Flakes and Grits (510 CE to 2019)",Extensively Annotated Bibliography and Sourcebook,
History of Soymilk and Other Non-Dairy Milks (1226-2013),"Including Infant Formulas, Calf Milk Replacers, Soy Creamers, Soy Shakes, Soy Smoothies, Almond Milk, Coconut Milk, Peanut Milk, Rice Milk, Sesame Milk, etc.",
Happiness Is Baking,"Cakes, Pies, Tarts, Muffins, Brownies, Cookies: Favorite Desserts from the Queen of Cake",
Simple Desserts,The Easiest Recipes in the World,
Cookies,Delicious Recipes for Sweet Treats to Bake & Share,
"I Love Dessert But NOT Sugar, Wheat, Milk, Gluten, Corn, Soy, Unhealthy Fat...",,
Printers' Ink,,
Elizabeth Alston's Best Baking,"80 Recipes for Angel Food Cakes, Chiffon Cakes, Coffee Cakes, Pound Cakes, Tea Breads, and Their Accompaniments",
Pecan Research,,
History of Tofu and Tofu Products (965 CE to 2013),,
Bake Me I'm Yours . . . Sweet Bitesize Bakes,Fun Baking Recipes for Over 25 Tiny Treats,
"Modern Priscilla Cook Book. One Thousand Recipes, Etc",,
Woman's Day Desserts,More Than 300 Recipes from Brownie Shortbread to Apple Sorbet to Lemon Meringue Pie,
Home-making Course of Study for Junior High Schools,"Grades Seven, Eight and Nine",
Baking,A Dessert Cookbook with Delicious Dessert Recipes (2nd Edition),
One Thousand Successful Recipes,,
The National Course in Home Economics,"How to Practice Economy in the Home, Containing Original Suggestions on Home Milinery[!] Home Dressmaking, Fancy Work, Home Decorating, Home Laundry, Home Gardening, Home Cooking, Etc., Etc",
The Ideal Cook Book,,
American Druggist,,
San Francisco,,
The Publishers Weekly,,
Tui Flower's Cookbook,,
More from Your Microwave,,
The Secret Lives of Baked Goods,Sweet Stories & Recipes for America's Favorite Desserts,
Instructors Manual,,
Thomas Food Industry Register,Buying guide,
Secret Toronto,"The Unique Guidebook to Toronto's Hidden Sites, Sounds & Tastes",
Mobil Travel Guide,Southwest and South Central Area,
Banish Your Belly,"The Ultimate Guide for Achieving a Lean, Strong Body-- Now",
Mobil 98: Great Lakes,,
How to Control Your Allergies,,
Evaporated Milk,,
The Guide to Cooking Schools,,
The Guide to Cooking Schools,"Cooking Schools, Courses, Vacations, Apprenticeships and Wine",
Food Australia,Official Journal of CAFTA and AIFST.,
Fodor's New England,,
Lidia's Commonsense Italian Cooking,150 Delicious and Simple Recipes Anyone Can Master: A Cookbook,
Mario Batali Simple Italian Food,Recipes from My Two Villages,
Giuliano Bugialli's Classic Techniques of Italian Cooking,,
The Heritage of Italian Cooking,,
Nick Stellino's Glorious Italian Cooking,,
How Italian Food Conquered the World,,
Italian Cooking at Home with The Culinary Institute of America,,
Scott Conant's New Italian Cooking,"More Than 125 Recipes For Everyday Eating, Relaxed Weekend Cooking, And Elegant Entertaining",
Modern Italian Cooking,,
La Cucina Italiana: The Encyclopedia of Italian Cooking,,
Italian Cooking For Dummies,,
Italian Cooking for the American housewife,,
The Fine Art of Italian Cooking,,
Cooking Well: Healthy Italian,Over 100 Easy & Delicious Recipes,
Italian Cooking for Beginners,"Simple and Easy Recipes for Weeknights, Parties, Holidays, and More",
Excel Italian Cooking,Get Into the Art of Italian Cooking,
Italian Cooking,Simple Classic Recipes,
The Essentials of Classic Italian Cooking,,
The Complete Italian Cookbook,Essential Regional Cooking of Italy,
The Pasta Queen: The Art of Italian Cooking,,
The Cooking of Italy,,
How To Eataly,"A Guide to Buying, Cooking, and Eating Italian Food",
Simply Italian,Cooking at Home with the Chiappa Sisters,
Italian Cookbook The Complete Guide,"Discover the Most Famous and Tasty Recipes of Italian Cooking and how to Make Them Easily at Your Home. Pasta, Pizza, Meat, Fish, and Much More.",
The Ultimate Guide to the Top 100 Cooking & Food Books,,
Italian Cooking,A Collection of Over 400 Simple Yet Authentic Recipes from Italy's Leading Culinary Magazine,
Paulie's,Classic Italian Cooking in the Heart of Houston's Montrose District,
Gusto,The Very Best of Italian Food and Cuisine,
Biba's Northern Italian Cooking,A Cookbook,
Italian Cooking Like Nonna,Authentic Family Recipes with Extraordinary Flavor and Endless Variations,
The Art of Italian Cooking,,
The Basic Art of Italian Cooking,Holidays and Special Occasions-2nd Edition,
Art of Italian Cooking,180 Classic Recipes,
Semplice,Real Italian Food: Ingredients and Recipes,
Simple Italian Cooking My Way,,
Step-by-step Italian Cooking,Popular Dishes from Italy Fully Explained and Illustrated in Easy Step-by-step Instructions,
The Classic Italian Cookbook,The Art of Italian Cooking and the Italian Art of Eating,
The Fundamental Techniques of Classic Italian Cuisine,,
Italian Cooking: Classic Recipes and Techniques,,
The Oxford Encyclopedia of Food and Drink in America,,
The Italian Cooking Encyclopedia,,
Italian Cooking School: Vegetables,,
One Pot Italian Cooking,More Than 100 Easy Authentic Recipes,
The Italian Cooking Encyclopedia,,
Italian Cooking,A Treasury of Italian Dishes for Every Occasion,
Da Vinci's Kitchen,A Secret History of Italian Cuisine,
Italy Today The Beautiful Cookbook,"Contemporary Recipes Reflecting Simple, Fresh Italian Cooking",
Classico e Moderno,Essential Italian Cooking: A Cookbook,
Northern Italian Cooking,,
The Encyclopedia of Italian Cooking,,
Cucinare,Healthy and Authentic Italian Cooking for the Whole Family,
Mama D's Old-Fashioned Italian Cooking,,
The Cook's Encyclopedia of Italian Cooking,,
Italia in cucina. The complete book of traditional Italian cooking,,
Pizza,"The Ultimate Cookbook Featuring More Than 300 Recipes (Italian Cooking, Neapolitan Pizzas, Gifts for Foodies, Cookbook, History of Pizza)",
Masterclass in Italian Cooking,,
The Encyclopedia of Italian Cooking,1001 Authentic Recipes,
Italian Cooking (Classic Reprint),,
The best of Italian cooking,,
Adventures in Italian Cooking,,
The Best of Italian Cooking,,
The Italian Cookbook,250 Vintage Recipes. Old Italian Cooking Traditions,
Cooking With Grace,A Step-By-Step Course In Authentic Italian Cooking,
Nella Cucina,More Italian Cooking from the Host of Ciao Italia,
Italian Cooking School: Ice Cream,,
Traditional Italian Cooking,The authentic taste of Italy: 130 classic and regional recipes shown in 270 stunning photographs,
Fresh Italian Cooking for the New Generation,100 Full-Flavored Vegetarian Dishes That Prove You Can Stay Slim While Eating Pasta and Bread,
Italian Cooking,Shortcuts to Success,
The Best of Italian Cooking,,
Italian Festival Food,Recipes and Traditions from Italy's Regional Country Food Fairs,
Italian Cooking,,
A Modern Italian Table,The Bible of Italian Cooking,
The Cook's Encyclopedia of Italian Cooking,,
Paleo Italian Cooking,Authentic Italian Gluten-Free Family Recipes,
Northern Italian Cooking,,
Italian Cooking,,
Italian Cooking,,
Splendido!,The Best of Italian Cooking,
Italian Cooking,,
COOKING AND BAKING MASTERY,PUFF PASTRY STUFFED RECIPES,
The Renaissance of Italian Cooking,,
The Best of Northern Italian Cooking,,
Old World Italian,Recipes and Secrets from Our Travels in Italy,
Country Cooking of Italy,,
History of Culinary Arts,,
Cook's Gd to Italian Cooking,,
Classic Italian Cooking,,
Italian Cookbook: Italian Cooking Recipes,"Delicious Italian Chicken Dishes! ( Italian Cookbook Coffee Table, Italian Cookbook Easy, Italian Cookbook with Pictures, Italian Food Cookbook )",
Buonissimo!,Easy Modern Recipes for Traditional Italian Cooking,
The Complete Book of Italian Cooking,,
The Food of Southern Italy,,
Healthy Italian Cooking,,
Italian Cooking,,
Cooking Mastery,,
The Basic Art of Pizza,,
Hotelier Indonesia,Editions 26th,
New York Magazine,,
You are What You Eat,Literary Probes into the Palate,
Representing Italy Through Food,,
The National Review,,
"Fourth International Congress on School Hygiene, Buffalo, New York, U.S.A., August 25-30, 1913 v. 5",,
Ciro's Provincetown Kitchen,Italian Cooking by the Sea,
The Chautauquan,,
Essays and Studies,,
The Delineator,,
Documents of the Senate of the State of New York,,
The British Clay Worker,,
Europe Revised,,
Minstrels in Satin,,
The Athenaeum,,
Annual Report of the Superintendent of Common Schools,,
Essays and Studies,,
Quarterly Bulletin of the Providence Public Library,,
The Fortnightly Review,,
The Fortnightly,,
The American Food Journal,,
"Fourth International Congress on School Hygiene, Buffalo, New York, U.S.A., August 25-30, 1913. Transactions",,
The Professional Chef,,
McCall's Introduction to Italian Cooking,,
Science of Food Nutrition and Health,,
Papa Rossi's Secrets of Italian Cooking,,
"""The Tree That Stands Above All""",,
Italian Cooking,,
Super Simple Homemade Pasta,"Make Spaghetti, Penne, Linguini, Bucatini, Tagliatelle, Ravioli, and More in Your Own Home Kitchen",
Lucia's Calabria,Southern Italian Cooking in an Oregon Orchard,
Reel Food,Essays on Food and Film,
Italian,Essence of Mediterranean Cuisine,
Italian Cuisine,,
Trattoria,The Best of Casual Italian Cooking,
Food Culture in Italy,,
Great Pasta Sauces,The Heart of Italian Cooking,
New York Magazine,,
The Guide to Cooking Schools,,
The Boston Cooking-School Magazine of Culinary Science and Domestic Economics,,
Express Your Creativity with Adobe Express,"Create stunning graphics, captivating videos, and impressive web pages without any coding skills",
The Print of My Remembrance,,
The Tourists' Guide of Canada,,
The Spell of Italy,,
Hand-books for Travellers in Europe and the East,The American Travellers' Guides,
Handbook of Travellers,"Germany, Italy, Egypt, Syria, Turkey and Greece",
Naples and Environs,With 6 Maps and 3 Ground-plans,
WOMAN'S DAY ENCYCLOPEDIA OF COOKERY,,
California Grocers Advocate,,
Current Literature,,
The Spectator,,
Current Opinion,,
Publishers Weekly,,
Everyland,A Magazine of World Friendship for Girls and Boys,
New Macaroni Journal,,
"First Report, April, 1911",,
Harper's New Monthly Magazine,,
San Francisco Review of Books,,
Harper's,(1902),
The Bookman,,
Harper's Monthly Magazine,,
The Travel Book: Guide to the Travel Guides,,
V!VA Travel Guides,Peru,
VIVA Travel Guides Argentina,,
Viva Travel Guides Colombia,,
Viva Travel Guides Galapagos,,
The complete travel guide for Reunion (France),,
V!VA Travel Guides Nicaragua,,
The Good Alternative Travel Guide,Exciting Holidays for Responsible Travellers,
"Marble's Round the World Travel-guide, Fully Illustrated, Maps-- Itineraries",,
Going Places,The Guide to Travel Guides,
The Travel Book,Guide to the Travel Guides,
DK Eyewitness Travel Guide Florida,,
Insight Guides Explore Hawaii (Travel Guide eBook),,
Mexico - Frommer's Travel Guides,,
Career Flow,Most Common Job Changes,
Information Sources and Services,,
Frommer's Comprehensive Travel Guide U.S.A. ...,,
Arizona - Frommer's Travel Guides,,
"Frommer's Comprehensive Travel Guide, Cruises '95-'96",,
"DK Eyewitness Travel Guide Washington, DC",,
"Appletons'Short-trip Guide to Europe. 1868. Principally Devoted to England, Scotland, Ireland, Switzerland, France, Germany and Italy, with Glimpses of Spain, ... and a Collection of Travellers'phrases in French and German",,
The Monthly Messenger of the New York State Hotel Association,,
The Open Shelf,,
Insight Guides Italy (Travel Guide eBook),,
Fodor's Essential Hawaii,,
Willing's Press Guide,,
Literary News,,
Greece & the Greek Islands Travel Guide Book,A Comprehensive 5-day Travel Guide to Greece and the Greek Islands & Unforgettable Greek Travel,
Guide to China,With Land and Sea Routes Between the American and European Continents,
Michigan State Library Association Proceedings of the ... Annual Meeting,,
Public Libraries,,
Proceedings,,
Annual Report,,
"Reports of the President, Treasurer, Auditor, Committee Chairmen",,
Annual Report of the Honolulu Chamber of Commerce for the Year Ending ...,,
Official Gazette of the United States Patent Office,,
The Rough Guide to Chile & Easter Island (Travel Guide with eBook),,
The American Booksellers Guide,,
On Location,A Film and TV Lover's Travel Guide,
Specifications and Drawings of Patents Issued from the U.S. Patent Office,,
Catalog,,
Serials in the British Library,,
The Bookman's Manual,A Guide to Literature,
Guide to American Directories,,
New Serial Titles,,
Current Bibliographical Information,,
Walden's Stationer and Printer,,
Library Work,,
The Saturday Evening Post,,
Frommer's Guide to Jamaica and Barbados,,
Provence & the French Riviera,"A Comprehensive 5-day Travel Guide to Provence & the French Riviera, France & Unforgettable French Travel",
The Golden Book Magazine,,
A Life's Work,"A Catalogue of Maps, Books, and Papers Drawn, Comp., of Written, 1853-1908",
Costa Rica Guide,,
Asian Bibliography,,
